"Year","individuals"
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1986,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,1
1987,2
1987,1
1987,1
1987,1
1988,1
1988,1
1988,1
1988,1.5
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1988,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1989,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1990,1
1991,1.2
1991,1
1991,1
1991,1.14285714285714
1991,1
1991,1
1991,1.1
1991,1
1991,1
1991,1
1991,1
1991,1.5
1991,1.33333333333333
1991,1
1991,1
1991,1.14285714285714
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1991,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1.33333333333333
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1992,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1993,1
1994,1
1994,1
1994,1
1994,1
1994,1
1994,1
1994,1.5
1994,1
1994,1
1994,1
1994,1
1994,1
1994,2
1994,1
1994,1
1994,1
1994,1
1994,1
1994,1
1994,1
1994,1
1994,1.5
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1995,1
1996,1
1996,2
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1997,2.5
1997,1
1997,1
1997,1
