"Year","biomass"
1986,34.26
1986,0.97
1986,0.28
1986,5.09
1986,0.305
1986,0.913333333333333
1986,0.28
1986,0.16
1986,0.625
1986,0.16
1986,0.07
1986,0.45
1986,0.07
1986,1.32
1986,24.04
1986,0.97
1986,2.25
1986,1.75
1986,1.75
1986,4.79
1986,4.155
1986,1.9
1986,2.83
1987,1.015
1987,0.07
1987,1.97
1987,5.09
1987,1.97
1987,3.74333333333333
1987,1.75
1987,0.566666666666667
1987,5.09
1987,8.24
1987,3.16
1987,2.83
1987,0.22
1987,0.07
1987,10.88
1987,0.45
1987,10.88
1987,10.88
1987,0.45
1987,0.07
1987,0.07
1987,1.75
1987,0.15
1987,31.74
1987,0.45
1987,1.75
1988,0.97
1988,4.66
1988,1.75
1988,2.425
1988,3.44333333333333
1988,1.75
1988,2.1175
1988,5.09
1988,0.97
1988,2.83
1988,24.04
1988,0.45
1988,0.97
1988,0.68
1988,0.45
1988,2.83
1988,4.42
1988,1.015
1988,12.895
1988,0.28
1988,1.75
1988,1.75
1988,16.745
1988,1.75
1988,0.68
1988,7.985
1989,1.35
1989,2.25
1989,0.97
1989,0.68
1989,2.87
1989,0.97
1989,0.97
1989,5.73333333333333
1989,1.75
1989,0.485
1989,10.685
1989,1.60666666666667
1989,4.345
1989,0.45
1989,5.535
1989,1.16
1989,0.625
1989,51.37
1989,6.315
1989,0.97
1989,1.175
1989,0.71
1989,0.45
1989,1.75
1989,6.95
1989,6.24
1989,0.97
1990,0.28
1990,1.75
1990,1.555
1990,0.97
1990,0.68
1990,0.45
1990,0.28
1990,1.46333333333333
1990,1.75
1990,2.83
1990,3.49
1990,0.28
1990,0.885
1990,1.32
1990,0.626666666666667
1990,1.485
1990,1.32
1990,4.145
1990,0.175
1990,2.58
1990,0.68
1990,0.97
1991,2.571
1991,0.45
1991,0.56
1991,3.53714285714286
1991,1.3925
1991,3.36857142857143
1991,0.972
1991,0.278
1991,1.25333333333333
1991,0.773333333333333
1991,1.75
1991,0.19
1991,1.44333333333333
1991,0.565
1991,0.48
