"Year","biomass"
1986,0.02
1986,4.29333333333333
1986,1.185
1986,5.09
1986,0.28
1986,0.97
1986,7.225
1986,2.86333333333333
1986,0.496666666666667
1986,10.88
1986,4.85333333333333
1986,0.97
1986,2.25
1986,0.97
1986,14.565
1986,0.16
1986,0.16
1986,0.826666666666667
1986,2.14666666666667
1986,0.45
1986,1.75
1986,0.45
1987,2.83
1987,1.015
1987,3.245
1987,1.755
1987,4.29
1987,0.45
1987,7.985
1987,8.24
1987,3.49
1987,10.785
1987,4.24
1987,11.35
1987,2.83
1987,0.28
1987,0.22
1987,2.54
1987,0.68
1987,0.45
1987,0.45
1987,1.215
1987,1.75
1987,0.07
1987,1.75
1987,0.45
1987,40.83
1987,12.8375
1987,0.02
1987,0.68
1988,1.75
1988,2.165
1988,2.83
1988,1.75
1988,4.195
1988,27.39
1988,2.83
1988,2.22333333333333
1988,2.25
1988,3.42
1988,1.75
1988,10.3466666666667
1988,7.462
1988,3.42
1988,1.942
1988,3.49
1988,4.24
1988,12.505
1988,2.375
1988,8.06666666666667
1988,1.555
1988,3.67
1988,1.015
1988,2.83
1988,1.99666666666667
1988,5.55
1988,2.73333333333333
1988,5.475
1988,4.89333333333333
1988,3.11
1988,1.22846153846154
1988,5.09
1988,1.825
1988,5.09
1989,2.83
1989,4.03
1989,1.9
1989,6.08333333333333
1989,0.45
1989,0.342727272727273
1989,10.88
1989,3.97
1989,7.09
1989,2.83
1989,0.97
1989,7.70666666666667
1989,7.09
1989,1.015
1989,2.90333333333333
1989,2.03
1989,4.1475
1989,1.75
1989,2.77666666666667
1989,1.75
1989,1.91
1989,10.685
1989,10.3466666666667
1989,7.80666666666667
1989,7.14
1989,0.97
1989,3.01
1989,3.49
1989,6.046
1989,1.75
1989,4.435
1989,0.97
1990,0.45
1990,1.145
1990,0.68
1990,0.68
1990,0.68
1990,3.03
1990,1.36
1990,3.49
1990,0.45
1990,2.29
1990,0.68
1990,5.09
1990,1.36
1990,3.90333333333333
1990,3.04
1990,0.28
1990,0.97
1990,0.07
1990,0.28
1990,0.16
1990,0.97
1990,11.93
1990,2.77
1990,2.075
1990,5.15333333333333
1990,1.32
1991,1.695
1991,3.82571428571429
1991,2.25
1991,0.603333333333333
1991,2.3
1991,0.804
1991,2.065
1991,1.9825
1991,2.394
1991,2.24
1991,1.75
1991,0.336666666666667
1991,0.71
