"","RECYEAR","O.speciosa"
"29",2002,514
"30",2002,598
"31",2002,145
"32",2002,230
"37",2003,437
"38",2003,439
"39",2003,352
"40",2003,314
"45",2004,415
"46",2004,338
"47",2004,373
"48",2004,254
"53",2005,342
"54",2005,477
"55",2005,438
"56",2005,343
"61",2006,339
"62",2006,484
"63",2006,318
"64",2006,260
"69",2007,480
"70",2007,132
"71",2007,473
"72",2007,291
"77",2008,491
"78",2008,425
"79",2008,457
"80",2008,249
"85",2009,252
"86",2009,472
"87",2009,318
"88",2009,482
"93",2010,341
"94",2010,318
"95",2010,4
"96",2010,222
"101",2011,264
"102",2011,377
"103",2011,232
"104",2011,283
"109",2012,402
"110",2012,251
"111",2012,504
"112",2012,356
"117",2013,354
"118",2013,393
"119",2013,389
"120",2013,287
"125",2014,410
"126",2014,414
"127",2014,178
"128",2014,271
"133",2015,482
"134",2015,217
"135",2015,359
"136",2015,227
