"RECYEAR","P.nebrascensis"
2002,47
2002,19
2002,143
2002,145
2003,76
2003,50
2003,67
2003,56
2004,76
2004,18
2004,91
2004,44
2005,16
2005,3
2005,59
2005,40
2006,18
2006,5
2006,30
2006,25
2007,111
2007,22
2007,134
2007,48
2008,66
2008,39
2008,103
2008,55
2009,55
2009,22
2009,73
2009,59
2010,5
2010,4
2010,12
2010,14
2011,17
2011,7
2011,76
2011,76
2012,13
2012,12
2012,38
2012,62
2013,80
2013,64
2013,55
2013,94
2014,20
2014,18
2014,32
2014,53
2015,11
2015,4
2015,14
2015,7
2016,29
2016,3
2016,29
2016,17
2017,18
2017,3
2017,24
2017,5
2018,2
2018,1
2018,68
2018,5
2019,18
2019,8
2019,29
2019,11
2020,18
2020,4
2020,48
2020,4
