"RECYEAR","TOTAL"
2002,568
2002,814
2002,403
2002,371
2003,428
2003,654
2003,225
2003,259
2004,511
2004,339
2004,238
2004,165
2005,235
2005,128
2005,215
2005,134
2006,250
2006,105
2006,174
2006,100
2007,784
2007,321
2007,664
2007,181
2008,474
2008,331
2008,505
2008,296
2009,466
2009,274
2009,366
2009,211
2010,121
2010,73
2010,57
2010,64
2011,248
2011,120
2011,251
2011,144
2012,220
2012,318
2012,164
2012,264
2013,553
2013,443
2013,365
2013,640
2014,372
2014,160
2014,346
2014,281
2015,152
2015,116
2015,143
2015,105
2016,205
2016,91
2016,209
2016,154
2017,254
2017,156
2017,290
2017,157
2018,84
2018,134
2018,340
2018,281
2019,328
2019,235
2019,237
2019,208
2020,154
2020,66
2020,260
2020,125
