"RECYEAR","O.speciosa"
1996,47
1996,12
1996,115
1996,55
1997,611
1997,76
1997,239
1997,115
1998,439
1998,58
1998,410
1998,95
1999,303
1999,12
1999,221
1999,11
2000,191
2000,10
2000,136
2000,52
2001,106
2001,7
2001,128
2001,32
2002,278
2002,28
2002,334
2002,297
2003,293
2003,49
2003,195
2003,27
2004,85
2004,3
2004,81
2004,72
2005,124
2005,3
2005,78
2005,80
2006,60
2006,2
2006,42
2006,20
2007,71
2007,12
2007,182
2007,24
2008,156
2008,25
2008,134
2008,94
2009,35
2009,8
2009,46
2009,47
2010,20
2010,2
2010,24
2010,17
2011,32
2011,0
2011,101
2011,20
2012,156
2012,3
2012,308
2012,88
2013,479
2013,23
2013,389
2013,267
2014,108
2014,12
2014,61
2014,9
2015,53
2015,3
2015,23
2015,15
2016,64
2016,2
2016,54
2016,19
2017,80
2017,4
2017,54
2017,21
2018,85
2018,6
2018,138
2018,30
2019,138
2019,6
2019,271
2019,31
2020,44
2020,4
2020,72
2020,24
