"","RECYEAR","P.nebrascensis"
"1",1996,159
"2",1996,264
"3",1996,204
"4",1996,150
"5",1997,356
"6",1997,337
"7",1997,302
"8",1997,419
"9",1998,419
"10",1998,239
"11",1998,345
"12",1998,306
"13",1999,380
"14",1999,421
"15",1999,478
"16",1999,262
"17",2000,359
"18",2000,262
"19",2000,385
"20",2000,281
"21",2001,429
"22",2001,459
"23",2001,451
"24",2001,356
"25",2002,364
"26",2002,557
"27",2002,411
"28",2002,410
"33",2003,357
"34",2003,304
"35",2003,383
"36",2003,242
"41",2004,484
"42",2004,233
"43",2004,501
"44",2004,384
"49",2005,426
"50",2005,528
"51",2005,283
"52",2005,436
"57",2006,358
"58",2006,424
"59",2006,387
"60",2006,459
"65",2007,422
"66",2007,199
"67",2007,304
"68",2007,416
"73",2008,411
"74",2008,472
"75",2008,340
"76",2008,297
"81",2009,295
"82",2009,328
"83",2009,177
"84",2009,307
"89",2010,250
"90",2010,413
"91",2010,227
"92",2010,227
"97",2011,389
"98",2011,379
"99",2011,382
"100",2011,135
"105",2012,459
"106",2012,399
"107",2012,396
"108",2012,326
"113",2013,426
"114",2013,470
"115",2013,603
"116",2013,418
"121",2014,296
"122",2014,303
"123",2014,336
"124",2014,422
"129",2015,279
"130",2015,627
"131",2015,349
"132",2015,459
