"RECYEAR","TOTAL"
1996,193
1996,63
1996,235
1996,217
1997,1013
1997,447
1997,471
1997,517
1998,598
1998,341
1998,564
1998,308
1999,462
1999,184
1999,306
1999,48
2000,381
2000,176
2000,239
2000,163
2001,202
2001,135
2001,230
2001,150
2002,571
2002,406
2002,625
2002,761
2003,523
2003,261
2003,399
2003,168
2004,149
2004,55
2004,280
2004,137
2005,207
2005,50
2005,166
2005,158
2006,143
2006,33
2006,95
2006,54
2007,152
2007,145
2007,341
2007,72
2008,361
2008,323
2008,283
2008,197
2009,173
2009,176
2009,160
2009,150
2010,53
2010,28
2010,34
2010,39
2011,85
2011,216
2011,194
2011,48
2012,329
2012,595
2012,627
2012,308
2013,1129
2013,468
2013,919
2013,765
2014,407
2014,171
2014,356
2014,309
2015,245
2015,177
2015,193
2015,178
2016,403
2016,161
2016,465
2016,324
2017,525
2017,405
2017,698
2017,193
2018,274
2018,243
2018,369
2018,301
2019,303
2019,219
2019,549
2019,152
2020,234
2020,212
2020,277
2020,314
