"","RECYEAR","Pl"
"9",1981,0
"10",1981,0
"21",1982,2
"22",1982,4
"35",1983,0
"36",1983,2
"49",1984,2
"50",1984,4
"63",1985,5
"64",1985,3
"77",1986,4
"78",1986,7
"91",1987,4
"92",1987,7
"105",1988,1
"106",1988,4
"119",1989,5
"120",1989,3
"133",1990,0
"134",1990,7
"147",1991,6
"148",1991,2
"161",1992,5
"162",1992,7
"175",1993,1
"176",1993,6
"189",1994,6
"190",1994,3
"203",1995,1
"204",1995,1
"217",1996,4
"218",1996,0
"231",1997,1
"232",1997,4
"245",1998,2
"246",1998,9
"259",1999,2
"260",1999,5
"273",2000,1
"274",2000,4
"287",2001,0
"288",2001,1
"301",2002,1
"302",2002,0
"315",2003,1
"316",2003,0
"329",2004,1
"330",2004,3
"343",2005,0
"344",2005,0
"357",2006,0
"358",2006,0
"371",2007,3
"372",2007,5
"385",2008,1
"386",2008,2
"399",2009,2
"400",2009,4
"413",2010,4
"414",2010,6
"427",2011,11
"428",2011,10
"441",2012,5
"442",2012,7
"455",2013,1
"456",2013,2
