"","RECYEAR","Pm"
"9",1981,6
"10",1981,6
"21",1982,8
"22",1982,3
"35",1983,0
"36",1983,4
"49",1984,8
"50",1984,8
"63",1985,5
"64",1985,3
"77",1986,14
"78",1986,7
"91",1987,13
"92",1987,4
"105",1988,5
"106",1988,10
"119",1989,55
"120",1989,50
"133",1990,58
"134",1990,43
"147",1991,6
"148",1991,5
"161",1992,15
"162",1992,17
"175",1993,30
"176",1993,29
"189",1994,6
"190",1994,8
"203",1995,10
"204",1995,9
"217",1996,13
"218",1996,12
"231",1997,36
"232",1997,37
"245",1998,13
"246",1998,12
"259",1999,22
"260",1999,13
"273",2000,17
"274",2000,7
"287",2001,12
"288",2001,9
"301",2002,38
"302",2002,17
"315",2003,14
"316",2003,8
"329",2004,17
"330",2004,14
"343",2005,21
"344",2005,19
"357",2006,27
"358",2006,15
"371",2007,42
"372",2007,33
"385",2008,31
"386",2008,20
"399",2009,29
"400",2009,18
"413",2010,31
"414",2010,23
"427",2011,33
"428",2011,33
"441",2012,22
"442",2012,21
"455",2013,8
"456",2013,17
