"","RECYEAR","TOTAL"
"9",1981,17
"10",1981,16
"21",1982,38
"22",1982,33
"35",1983,9
"36",1983,13
"49",1984,14
"50",1984,13
"63",1985,21
"64",1985,16
"77",1986,29
"78",1986,19
"91",1987,37
"92",1987,20
"105",1988,10
"106",1988,17
"119",1989,64
"120",1989,65
"133",1990,76
"134",1990,79
"147",1991,18
"148",1991,7
"161",1992,21
"162",1992,26
"175",1993,49
"176",1993,44
"189",1994,18
"190",1994,28
"203",1995,18
"204",1995,13
"217",1996,17
"218",1996,13
"231",1997,38
"232",1997,41
"245",1998,17
"246",1998,23
"259",1999,32
"260",1999,24
"273",2000,24
"274",2000,11
"287",2001,13
"288",2001,10
"301",2002,42
"302",2002,17
"315",2003,18
"316",2003,9
"329",2004,18
"330",2004,21
"343",2005,21
"344",2005,21
"357",2006,30
"358",2006,16
"371",2007,49
"372",2007,42
"385",2008,39
"386",2008,28
"399",2009,41
"400",2009,37
"413",2010,42
"414",2010,32
"427",2011,49
"428",2011,44
"441",2012,27
"442",2012,29
"455",2013,9
"456",2013,19
