"","RECYEAR","Pm"
"1",1981,9
"2",1981,4
"13",1982,7
"14",1982,15
"27",1983,3
"28",1983,1
"41",1984,5
"42",1984,5
"55",1985,1
"56",1985,4
"69",1986,16
"70",1986,14
"83",1987,12
"84",1987,3
"97",1988,2
"98",1988,4
"111",1989,20
"112",1989,15
"125",1990,14
"126",1990,21
"139",1991,1
"140",1991,5
"153",1992,5
"154",1992,4
"167",1993,13
"168",1993,4
"181",1994,3
"182",1994,1
"195",1995,7
"196",1995,1
"209",1996,5
"210",1996,2
"223",1997,22
"224",1997,12
"237",1998,7
"238",1998,9
"251",1999,12
"252",1999,5
"265",2000,1
"266",2000,8
"279",2001,3
"280",2001,4
"293",2002,17
"294",2002,13
"307",2003,6
"308",2003,6
"321",2004,4
"322",2004,10
"335",2005,4
"336",2005,8
"349",2006,4
"350",2006,5
"363",2007,22
"364",2007,11
"377",2008,9
"378",2008,3
"391",2009,15
"392",2009,13
"405",2010,10
"406",2010,1
"419",2011,15
"420",2011,3
"433",2012,5
"434",2012,6
"447",2013,5
"448",2013,10
