"","RECYEAR","TOTAL"
"1",1981,16
"2",1981,9
"13",1982,28
"14",1982,30
"27",1983,6
"28",1983,4
"41",1984,7
"42",1984,7
"55",1985,4
"56",1985,6
"69",1986,19
"70",1986,19
"83",1987,18
"84",1987,12
"97",1988,3
"98",1988,4
"111",1989,21
"112",1989,18
"125",1990,21
"126",1990,37
"139",1991,1
"140",1991,6
"153",1992,17
"154",1992,7
"167",1993,25
"168",1993,20
"181",1994,10
"182",1994,4
"195",1995,9
"196",1995,4
"209",1996,5
"210",1996,5
"223",1997,23
"224",1997,13
"237",1998,16
"238",1998,10
"251",1999,25
"252",1999,9
"265",2000,1
"266",2000,8
"279",2001,3
"280",2001,5
"293",2002,22
"294",2002,14
"307",2003,6
"308",2003,13
"321",2004,8
"322",2004,24
"335",2005,6
"336",2005,8
"349",2006,6
"350",2006,5
"363",2007,34
"364",2007,14
"377",2008,22
"378",2008,6
"391",2009,63
"392",2009,42
"405",2010,12
"406",2010,6
"419",2011,20
"420",2011,3
"433",2012,7
"434",2012,7
"447",2013,5
"448",2013,10
