"lakeid","year4","tot.abund"
"R",1984,25940
"R",1984,23861
"R",1984,16569
"R",1984,11180
"R",1984,15680
"R",1984,9800
"R",1984,10465
"R",1984,10265
"R",1984,14683
"R",1984,24363
"R",1984,8374
"R",1984,11416
"R",1984,15038
"R",1984,21022
"R",1985,12346.5
"R",1985,8417.5
"R",1985,6817.5
"R",1985,6414.5
"R",1985,6805.5
"R",1985,7299
"R",1985,8076.5
"R",1985,4959.5
"R",1985,3497.5
"R",1985,6180
"R",1985,4070
"R",1985,5835.5
"R",1985,7314
"R",1985,6972.5
"R",1985,4979.5
"R",1985,4370.5
"R",1985,1927.5
"R",1986,806.5
"R",1986,11332.5
"R",1986,15010
"R",1986,16587
"R",1986,9889.5
"R",1986,7708
"R",1986,6056.5
"R",1986,1680
"R",1986,2192
"R",1986,1054
"R",1986,1729
"R",1986,1237.5
"R",1986,1512
"R",1986,1348
"R",1986,1586.5
"R",1986,1182.5
"R",1987,5998.9
"R",1987,6478.5
"R",1987,8388.5
"R",1987,9061
"R",1987,5372.5
"R",1987,4445
"R",1987,4342.5
"R",1987,5545
"R",1987,3838
"R",1987,8835.5
"R",1987,9392.5
"R",1987,10038
"R",1987,11429.5
"R",1987,6105
"R",1987,5589.5
"R",1987,4274.5
"R",1988,13028.5
"R",1988,11720.7
"R",1988,11098
"R",1988,11268
"R",1988,12659.5
"R",1988,12230.5
"R",1988,10667.3
"R",1988,12919
"R",1988,13499
"R",1988,12250.5
"R",1988,10590.5
"R",1988,10724
"R",1988,21004.5
"R",1988,18145
"R",1988,16080.5
"R",1988,10943.5
"R",1989,13930
"R",1989,51045.5
"R",1989,78243.5
"R",1989,89548
"R",1989,113069
"R",1989,101327.5
"R",1989,59341.5
"R",1989,72096.5
"R",1989,66176.5
"R",1989,91130
"R",1989,59077
"R",1989,58260
"R",1989,63364.5
"R",1989,28667
"R",1989,33810.5
"R",1989,27690.5
"R",1989,6890.5
"R",1990,23043.5
"R",1990,106573.5
"R",1990,134148.5
"R",1990,58438.5
"R",1990,58885
"R",1990,67680.5
"R",1990,22010
"R",1990,17584
"R",1990,14262.5
"R",1990,19082
"R",1990,10100
"R",1990,10813
"R",1990,10472.5
"R",1990,4878
"R",1990,9855
"R",1990,12946
"R",1990,2762.5
"R",1990,4698.5
"R",1991,5200.5
"R",1991,11010.5
"R",1991,1956.5
"R",1991,345.5
"R",1991,136.5
"R",1991,26
"R",1991,156.5
"R",1991,2250
"R",1991,22397.5
"R",1991,4329
"R",1991,9333.5
"R",1991,3772
"R",1991,2580
"R",1991,3107.5
"R",1991,3107.5
"R",1991,2928
"R",1992,5627.5
"R",1992,16651.5
"R",1992,17956.5
"R",1992,18524
"R",1992,19443
"R",1992,14932.5
"R",1992,17871.5
"R",1992,20852
"R",1992,17824
"R",1992,14818.5
"R",1992,19924.5
"R",1992,15829.5
"R",1992,16612.5
"R",1992,30379.5
"R",1992,21899
"R",1992,23442.5
"R",1992,18215.5
"R",1993,60611.7
"R",1993,56277.5
"R",1993,59026
"R",1993,41614
"R",1993,110060.5
"R",1993,98751
"R",1993,84474
"R",1993,27441.9
"R",1993,7687.4
"R",1993,2877.9
"R",1993,1255.5
"R",1993,3721.6
"R",1993,11474
"R",1993,26448.5
"R",1993,44666
"R",1993,46389
"R",1993,32721.5
"R",1994,50127.7
"R",1994,42525.7
"R",1994,46783.4
"R",1994,52889.8
"R",1994,28180.4
"R",1994,38146.6
"R",1994,39750.2
"R",1994,71447.1
"R",1994,30485.7
"R",1994,29645
"R",1994,44662.7
"R",1994,25659.6
"R",1994,15724.7
"R",1994,34702.9
"R",1994,32515.3
"R",1994,20366.4
"R",1994,18927
"R",1995,12009.9
"R",1995,10737.1
"R",1995,31879.1
"R",1995,56009.7
"R",1995,22967.3
"R",1995,38005.8
"R",1995,44305.1
"R",1995,51073.2
"R",1995,53894.5
"R",1995,53360.6
"R",1995,40192.3
"R",1995,25298.9
"R",1995,58502.9
"R",1995,48207.3
"R",1995,13333.5
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1996,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1997,NA
"R",1998,1073.4285
"R",1998,1286.171
"R",1998,1202.3145
"R",1998,4510.087
"R",1998,1968.0265
"R",1998,11103.888
"R",1998,19981.2555
"R",1998,14935.885
"R",1998,30419.5415
"R",1998,39840.455
"R",1998,26533.485
"R",1998,3424
"R",1998,9503.773
"R",1998,9926.402
"R",1998,12498.515
"R",1999,10567.543
"R",1999,8526.4
"R",1999,12869.943
"R",1999,10657.3715
"R",1999,5888
"R",1999,5256
"R",1999,4168
"R",1999,3904
"R",2001,19412.8561438561
"R",2001,19089.026026026
"R",2001,9398.75756048387
"R",2001,12469.448948949
"R",2001,12641.9051204819
"R",2001,7099.12087912088
"R",2001,10099.4136546185
"R",2001,9385.66599799397
"R",2001,6366.3259557344
"R",2001,6796.37229862475
"R",2001,6009.10640394089
"R",2001,5255.87012987013
"R",2001,6385.66887417218
"R",2001,6524.98531810767
"R",2002,2481.15
"R",2002,10922.6925
"R",2002,13664.098
"R",2002,44271.2375
"R",2002,68677.155
"R",2002,62058.06
"R",2002,59613.225
"R",2002,NA
"R",2002,46687.1625
"R",2002,17765.92
"R",2002,16895.25
"R",2002,NA
"R",2002,24951.54
"R",2002,23260.7375
"R",2002,21252.32
"R",2002,15835.63
"R",2002,20562.5
"R",2002,4388.735
"R",2002,6115.63571428572
"R",2003,3970.01
"R",2003,16848.375
"R",2003,12200.37
"R",2003,11598.19375
"R",2005,8650.78
"R",2005,11502.54
"R",2005,12525.13
"R",2005,12175.1065572
"R",2005,26817.12121819
"R",2005,30044.21052211
"R",2005,29393
"R",2005,26374.35714657
"R",2005,23875.99999737
"R",2005,16878.52173846
"R",2005,14344.2391299
"R",2005,12502.22222242
"R",2005,11073.446969156
"R",2005,2793.55
"R",2006,5478.176
"R",2006,18171.5388739946
"R",2006,6920.26601941747
"R",2006,6605.53115727004
"R",2006,8753.40154867257
"R",2006,11776.1375404531
"R",2006,9817.36426116839
"R",2006,7964.22957198444
"R",2006,6058.60638297872
"R",2006,5868.71267361111
"R",2006,6324.29157667386
"R",2006,7461.77419354838
"R",2006,7754.1677852349
"R",2006,4072.63579474343
"R",2006,7179.92294520549
"R",2007,22013.4485049834
"R",2007,27209.0280777538
"R",2007,20405.971849866
"R",2007,20829.8774617067
"R",2007,29241.5869565217
"R",2007,22710.8251533743
"R",2007,20057.9296296296
"R",2007,31555.9528301887
"R",2007,32636.7681818182
"R",2007,32117.750929368
"R",2007,24990.1970198676
"R",2007,30116.4057377049
"R",2007,33514.7241992883
"R",2007,19802.3511450382
"R",2007,13849.513029316
"R",2008,12330.361866815
"R",2008,14850.95872321
"R",2008,39953.78965192
"R",2008,28688.62026416
"R",2008,49983.1003131
"R",2008,57123.08617779
"R",2008,43384.03321972
"R",2008,27876.87328656
"R",2008,11753.86440764
"R",2008,8160.847057564
"R",2008,8391.14162651
"R",2008,8740.22756225
"R",2008,7375.9461971
"R",2008,7360.99206641
"R",2008,6169.52855024
"R",2009,78398.7911564
"R",2009,65736.14885122
"R",2009,95446.89312327
"R",2009,39496.56365282
"R",2009,53560.81556859
"R",2009,44047.28029887
"R",2009,34806.484066
"R",2009,24036.4251276
"R",2009,22269.77519009
"R",2009,12696.00156023
"R",2009,14368.93263291
"R",2009,11352.818718201
"R",2009,8021.835399479
"R",2009,12767.501140703
"R",2009,10239.99094036
"R",2010,42225.63477386
"R",2010,55655.4462588
"R",2010,43610.63411112
"R",2010,44656.9854709
"R",2010,18212.30772021
"R",2010,11929.82052925
"R",2010,5940.575943782
"R",2010,5757.22705845
"R",2010,3958.608915285
"R",2010,4896.93836028
"R",2010,8765.067814683
"R",2010,7939.84886877
"R",2010,9592.24158795
"R",2010,6947.01876489
"R",2010,11423.94469168
"R",2011,46116.06583151
"R",2011,41588.71719143
"R",2011,47270.0740103
"R",2011,24727.68966922
"R",2011,20030.51113206
"R",2011,16641.95796377
"R",2011,15297.75873149
"R",2011,13226.3072361
"R",2011,13872.71224203
"R",2011,13432.77771872
"R",2011,8574.7817952
"R",2011,6329.75558884
"R",2011,3997.2414497
"R",2011,2320.2775026
"R",2011,2292.976978164
"R",2011,3038.20758663
"R",2012,1321.200804662
"R",2012,1789.319757988
"R",2012,1657.2903467
"R",2012,1728.565801604
"R",2012,3077.724108046
"R",2012,877.557022103
"R",2012,1555.035281239
"R",2012,1954.786868041
"R",2012,3728.868867112
"R",2012,4690.34287258
"R",2012,4507.571161144
"R",2012,4495.890349661
"R",2012,5202.17773478
"R",2012,8278.10643564
"R",2012,4368.64734738
"R",2013,688.638516754147
"R",2013,967.455686152678
"R",2013,595.602043103724
"R",2013,1413.64610336095
"R",2013,1478.03902828783
"R",2013,1116.83800454496
"R",2013,1510.80340683731
"R",2013,1593.16229352089
"R",2013,1723.36232719487
"R",2013,1678.21706158425
"R",2013,2374.58938172043
"R",2013,3550.43210354984
"R",2013,8114.62019440419
"R",2013,6099.73341854969
"R",2014,389.752265861027
"R",2014,422.280098280098
"R",2014,754.738377876517
"R",2014,1215.79443469541
"R",2014,1392.23695717732
"R",2014,891.506508518872
"R",2014,1383.91757056771
"R",2014,NA
"R",2014,NA
"R",2014,NA
"R",2014,NA
"R",2014,NA
"R",2014,NA
"R",2014,NA
"R",2014,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2015,NA
"R",2016,494.681577473395
"R",2016,1539.61496467566
"R",2016,785.404377279834
"R",2016,896.630592195389
"R",2016,1584.31433793345
"R",2016,1835.72808941077
"R",2016,2361.26096741926
"R",2016,2082.37305312567
"R",2016,3620.23719392064
"R",2016,3206.37887323944
"R",2016,2636.65341272379
"R",2016,2438.83756747031
"R",2016,2780.61687627345
"R",2016,1016.17584520519
