"year4","freq"
1984,12
1984,6
1984,5
1984,37
1984,9
1984,12
1984,18
1984,49
1984,5
1984,12
1984,2
1984,35
1984,12
1984,4
1984,15
1984,26
1984,2
1984,1
1984,3
1985,10
1985,79
1985,6
1985,7
1985,8
1985,32
1985,9
1985,14
1985,16
1985,14
1985,57
1985,80
1985,15
1986,6
1986,47
1986,15
1986,12
1986,23
1986,44
1986,8
1986,40
1986,40
1986,24
1986,36
1986,29
1986,97
1986,58
1986,55
1987,36
1987,53
1987,29
1987,1
1987,35
1987,16
1987,24
1987,10
1987,27
1987,24
1987,10
1987,16
1987,58
1987,80
1987,70
1987,191
1988,1
1988,36
1988,93
1988,29
1988,21
1988,5
1988,30
1988,5
1988,24
1988,5
1988,24
1988,28
1988,79
1988,143
1988,64
1989,57
1989,70
1989,15
1989,23
1989,23
1989,24
1989,25
1989,49
1989,69
1989,13
1989,16
1990,47
1990,65
1990,23
1990,21
1990,28
1990,43
1990,122
1990,195
1991,70
1991,51
1991,29
1991,31
1991,41
1991,28
1991,58
1991,150
1991,114
1992,42
1992,27
1992,23
1992,38
1992,24
1992,26
1992,1
1992,31
1992,10
1992,16
1992,35
1992,73
1992,25
1993,36
1993,44
1993,16
1993,42
1993,15
1993,15
1993,17
1993,33
1993,13
1993,28
1994,40
1994,50
1994,47
1994,12
1994,11
1994,9
1994,3
1994,28
1994,6
1994,2
1994,30
1994,1
1994,9
1994,37
1994,41
1994,46
1994,18
1994,23
1995,126
1995,8
1995,17
1995,34
1995,47
1995,39
1995,26
1995,30
1995,156
1995,47
1995,159
1995,1
1996,60
1996,48
1996,3
1996,19
1996,29
1996,38
1996,38
1996,39
1996,121
1996,82
1997,68
1997,66
1997,31
1997,29
1997,73
1997,47
1997,62
1999,6
1999,4
1999,1
1999,8
1999,8
1999,9
1999,2
1999,23
1999,4
1999,10
1999,2
1999,24
1999,22
1999,15
1999,25
1999,18
2000,74
2000,29
2000,67
2000,27
2000,38
2000,26
2000,65
2000,18
2000,48
2001,58
2001,46
2001,18
2001,28
2001,10
2001,5
2001,26
2001,10
2001,9
2001,35
2001,21
2001,56
2001,21
2001,22
2001,23
2001,21
2001,15
2001,19
2001,77
2001,51
2002,33
2002,7
2002,17
2002,17
2002,14
2002,20
2002,21
2002,25
2002,20
2002,21
2002,12
2002,21
2002,15
2002,28
2003,45
2003,52
2003,23
2003,24
2003,1
2003,30
2003,31
2003,23
2003,9
2003,39
