"year4","freq"
1984,19
1984,7
1984,68
1984,29
1984,20
1984,25
1984,68
1984,19
1984,11
1984,41
1984,22
1984,16
1984,3
1984,66
1984,8
1984,1
1984,4
1985,35
1985,33
1985,70
1985,38
1985,2
1985,9
1985,10
1985,11
1985,12
1985,21
1985,7
1985,7
1985,7
1985,6
1985,20
1985,921
1985,344
1986,3
1986,534
1986,3
1986,2
1986,12
1986,22
1986,18
1986,6
1986,28
1986,9
1986,12
1986,33
1986,13
1986,32
1986,21
1986,12
1986,197
1986,4
1987,144
1987,35
1987,4
1987,1
1987,2
1987,23
1987,11
1987,14
1987,8
1987,6
1987,3
1987,2
1987,7
1987,12
1987,3
1987,5
1987,11
1987,5
1987,6
1987,23
1987,3
1987,4
1987,10
1987,14
1987,12
1987,12
1987,9
1987,10
1987,7
1987,9
1987,4
1987,14
1987,18
1987,14
1987,4
1987,13
1987,101
1987,22
1987,141
1987,1
1988,20
1988,106
1988,209
1988,2
1988,26
1988,3
1988,39
1988,2
1988,37
1988,1
1988,3
1988,25
1988,3
1988,27
1988,65
1988,39
1988,118
1988,112
1989,36
1989,135
1989,154
1989,24
1989,27
1989,35
1989,28
1989,39
1989,127
1989,75
1989,56
1989,51
1989,222
1989,82
1989,96
1989,17
1989,3
1989,1
1989,1
1990,24
1990,12
1990,57
1990,31
1990,632
1990,619
1991,53
1991,7
1992,1
1996,82
1996,26
1996,30
1996,29
1996,23
