"start_year","N_data","N_years","slope","slope_se","p_value","intercept","intercept_se","intercept_p_value","r_square","adj_r_square","site","trmt","taxa","trophic_level"
1984,44,3,-0.118054700367673,0.175509353145048,0.504860141938183,234.294259190738,348.398059461475,0.504954871989653,0.0106576959140824,-0.0128980732308204,"ntlakes","lake_L","chlorophyll","producer"
1985,48,3,-0.252652722519564,0.145339041108106,0.0888362597023305,501.572249827079,288.640332884632,0.088953955576805,0.0616443164102288,0.041245279810451,"ntlakes","lake_L","chlorophyll","producer"
1986,48,3,0.078151638354533,0.0651701758664884,0.236593685682911,-155.535602441854,129.495865774766,0.235866113249138,0.0303145709503378,0.0092344529275189,"ntlakes","lake_L","chlorophyll","producer"
1987,49,3,0.93864401397516,0.148742441937038,0.0000000910580094045755,-1865.7234570042,295.699999001897,0.0000000913825339444684,0.458667666343887,0.447149957117161,"ntlakes","lake_L","chlorophyll","producer"
1988,50,3,0.240689188453255,0.202265753649812,0.23991263283131,-478.161548933747,402.306618584817,0.240464032368071,0.0286550198650411,0.00841866611222963,"ntlakes","lake_L","chlorophyll","producer"
1989,49,3,-0.766149071677914,0.178782869561575,0.0000896783409217592,1525.21715400034,355.777939763251,0.0000892071278546981,0.280953232105365,0.265654364703351,"ntlakes","lake_L","chlorophyll","producer"
1990,50,3,-0.299349527295643,0.122495703115581,0.0182615112726549,596.043931309115,243.888965821522,0.0182543424454732,0.110648979766787,0.0921208335119287,"ntlakes","lake_L","chlorophyll","producer"
1991,50,3,0.100404646606379,0.06952407127,0.155186933543094,-200.068038464944,138.493351961711,0.155065762192609,0.0416412820518903,0.0216754754279713,"ntlakes","lake_L","chlorophyll","producer"
1992,51,3,0.0269420948160909,0.0810856856754159,0.74110491642761,-53.7751902354666,161.603785112851,0.740735374024748,0.00224802351649394,-0.0181142617178633,"ntlakes","lake_L","chlorophyll","producer"
1993,50,3,-0.198941626620535,0.0811142690349234,0.0178680908035173,396.579891132843,161.740243586381,0.017896882956778,0.111362782179201,0.0928495068079346,"ntlakes","lake_L","chlorophyll","producer"
1994,48,3,-0.0352577666451396,0.0734957340673803,0.633695870054912,70.1232954012728,146.620939390436,0.634728642943898,0.00497806037247299,-0.0166528513585604,"ntlakes","lake_L","chlorophyll","producer"
1995,46,3,-0.0637629451652539,0.0619586288670847,0.309046889881446,126.962778937189,123.668086744366,0.310200450265023,0.0235044837874532,0.00131140387353179,"ntlakes","lake_L","chlorophyll","producer"
